sess,trial,rmse,med,p90,score,rev,spin,Tabs,jerkL,speed,pathratio,e2,score2
19.08_1,1,2.995907780869675,2.2664215537415933,5.0004054411911385,53.0,19.474007514178368,16.685475921772547,1.2306692155810302,12.620062255859375,3.0712131472278488,1.3551609184809814,3.338760094013633,54.0
19.08_1,2,1.5540478264918796,1.2157830878942433,2.4898048984619208,74.0,22.40825131069556,22.091112984100228,1.2881372425706417,19.798080444335938,2.573690057511481,1.1356267469236738,2.2308039816321434,66.0
19.08_1,3,1.2083534332483647,0.9622849352858831,1.9127409120618406,80.0,28.041027985314493,27.726746760760562,1.5460359292143344,26.937030029296874,2.4801128945032627,1.094344811596968,2.2902815026601266,67.0
19.08_1,4,1.0767882095194123,0.8390434519694985,1.5439304031072059,82.0,26.133912372680392,25.28821016842617,1.3720493177524917,23.857382202148436,2.5594229136254643,1.1293384112400175,2.410228045715773,69.0
19.08_1,5,1.5989092844651105,1.1347009076047394,2.5714433966515142,77.0,28.579591720118287,27.72246110769846,1.5663765266958936,20.96995849609375,2.6883982568733695,1.186246162667688,1.6944503336394137,76.0
19.08_1,6,1.455370364843803,0.8818020526274704,2.372642789551207,79.0,19.982571677547465,19.399722861101985,1.140014544461237,20.579278564453126,2.5043771562794843,1.1050523921310962,1.912060764058061,74.0
19.08_1,7,1.347497777724202,1.0566446340376432,2.1517114223569282,78.0,27.696747189325865,27.498178597448607,1.547883632921106,24.729251098632812,2.485103863958675,1.096539876379741,2.0962265256098638,69.0
19.08_1,8,1.4515121944915188,1.2882568890545245,2.095922506440231,78.0,25.863916229768147,24.783931658119172,1.5371464120423979,23.02767333984375,2.43893908993248,1.0761771179973874,1.5323583159362575,79.0
19.08_1,9,1.4772408708365912,1.075160021688236,2.2148430238496677,79.0,27.841030842416536,26.648190740132282,1.5709766453060854,21.940225219726564,2.4682566349383213,1.089105029595393,1.1920961487163084,83.0
19.08_1,10,1.4213305875786686,1.031396283084038,2.1786340393073482,78.0,27.242467964743362,27.0696132912387,1.6078713529190096,22.58709716796875,2.6078242439568364,1.1506945772041461,1.8234356654065003,75.0
19.08_1,11,1.4543936215219528,1.0174612802140803,2.3805929898942164,80.0,27.308181311695545,26.908187025899633,1.447019968850124,22.660458374023438,2.540601263124301,1.1210324355163077,1.2479548013270056,82.0
19.08_1,12,1.7429019692966372,0.9250991884776915,2.4083532093743134,78.0,26.642476536049486,26.60247710746989,1.4886272101543219,22.6745361328125,2.4330738431851846,1.0735852381012367,1.1624884228814778,81.0
19.08_1,13,1.3791022965799888,1.0072043962900383,2.127923383011929,81.0,24.73107527035328,24.383937372323253,1.3704004701526724,21.748016357421875,2.466563309447553,1.0883663651970754,1.1913724703041724,82.0
19.08_1,14,1.5249993598825324,1.0431451191346968,1.920949299895591,80.0,26.558192025828202,25.90820131140984,1.3960294250086327,18.898098754882813,2.4703581869504574,1.0900310267407394,1.0584698503966787,85.0
19.08_1,15,1.0304772266631903,0.7451188383901769,1.682994993000594,84.0,23.122526821045415,22.94538649447865,1.3039719095495903,20.47767333984375,2.3914114144600207,1.0552026377124561,1.0866138217162433,85.0
20.08_2,1,1.1667159409644172,0.7299696143595443,1.958026247889705,81.0,19.22258253453522,8.35702347109327,1.2334676890916068,25.91658935546875,2.5869976343749914,1.141506306148778,0.8858552403473751,84.0
20.08_2,2,1.4440793476380478,0.6423221139055915,1.747126885818113,81.0,18.442593677233184,14.578363166240482,1.1159492751526539,35.78828735351563,2.4745084945139686,1.0918659779492288,0.6865015132554395,88.0
20.08_2,3,0.906606431509126,0.563789403228797,1.3838384742835492,86.0,18.006885615919774,13.81837402322824,1.0663456594349154,35.563272094726564,2.5030892705290744,1.1044806790972599,0.6386179121753424,89.0
20.08_2,4,0.6479483236249981,0.5439401831599446,0.9822749653286641,91.0,19.339723718232595,16.70118998300024,1.0850164156590454,43.083428955078126,2.3983549228395606,1.058262836668914,0.8402748579494849,89.0
20.08_2,5,0.9922663563084819,0.4856264143638921,1.5303438344352756,89.0,19.86114484078799,17.68831873830374,1.0851026561872916,39.17257080078125,2.4435523899081066,1.0782100802776973,0.8539408537932687,89.0
20.08_2,6,0.661263885548061,0.528985903906107,0.9838714229141123,91.0,16.56547763603377,15.274067513321238,1.079234206086746,36.1336181640625,2.4226595742022377,1.0689880747161336,0.8463408663044218,89.0
20.08_2,7,0.5632592262338604,0.40233006904175617,0.8692135695353208,93.0,15.712632676676048,14.182654533506664,0.9923867367429071,39.9350341796875,2.41455397512512,1.0654123538581046,0.6088205108465239,92.0
20.08_2,8,0.509157586019452,0.3558289443821169,0.7999024693953568,93.0,16.21976828902444,13.746946472193255,0.9311849972229052,43.673974609375,2.392638015394595,1.0557450820129493,0.7492634327809766,90.0
20.08_2,9,0.5395378902700464,0.38962372675417006,0.811392383334456,93.0,13.981228839588006,12.972671818974016,0.9179242043019642,39.263134765625,2.373347658158255,1.0472309314039074,1.0075089556844299,87.0
20.08_2,10,0.5818334356714964,0.47230713121090584,0.8390809885831605,92.0,14.744075084641647,13.621233982371681,1.062148528231823,36.872607421875,2.4345891681827876,1.074256075146762,1.025604719510831,89.0
20.08_2,11,0.5211829135619239,0.41244389936468123,0.706184133668022,93.0,16.572620391137267,15.35835202354252,1.0610675576513109,39.61630859375,2.3984347053717308,1.0582983860533934,0.7374565356191456,90.0
20.08_2,12,0.490967580299469,0.33514292140818797,0.7270570370507231,93.0,9.119869716146912,8.764160511992685,0.9020937917178052,39.8286865234375,2.423001875688118,1.069141216698209,0.6958042486104693,91.0
20.08_2,13,0.4181297587236928,0.28603036115265473,0.5720672097194922,93.0,10.022713961229126,9.737003757089184,0.9720955669609994,39.53178100585937,2.381920648341736,1.0510159886848502,0.5465479238813736,90.0
20.08_2,14,0.42042858763117047,0.2916382780620351,0.57755853619294,93.0,13.676947472178968,12.686961614834075,0.9971246777860623,40.48966064453125,2.3806662956771003,1.0504598272968124,0.9532019616784017,86.0
20.08_2,15,0.47369316809934175,0.3573866018662802,0.651870113186046,92.0,10.348423593948658,10.175568920443993,1.0111506978122968,35.986578369140624,2.403757298057005,1.0606471623653522,0.7954884777729874,86.0
